Case ID,ABCC9,ANKLE2,ANKRD13D,ANKZF1,AP1G2,ARRDC2,ATAD2,ATG4B,ATIC,BARD1,BCL6,BMS1,BRAP,BTG2,CBX5,CD2AP,CEBPZ,CIRBP,CREBL2,CRK,CYB5A,CYBRD1,DCAF13,DCLRE1C,DDX42,DDX51,DENR,DHCR24,DNAJB6,DNPEP,DPYSL2,DROSHA,EMP2,ENY2,ERC1,ERCC6,ETNK1,FAM122B,FAM20B,FANCL,FOXK2,FRMD4B,GAK,GCN1L1,GGA3,GLUD1,GMDS,GTPBP2,GTPBP4,HIPK3,HIST1H4B,HIST1H4C,IL6ST,KIAA0368,LAMB2,LOC100133091,LPAR6,LRPPRC,MAPK14,MAT2A,MBOAT2,MCM7,MYO10,NAA25,NOP56,PTGES3,RBMS3,RICTOR,SNORA37,SPG7,TXNIP
R01-003,-0.07308217671342332,-0.1309185458336588,-0.16844570265777428,-0.16455455938909969,-0.163798435545864,-0.17513629407490464,-0.1769571834836949,-0.16807195268999905,-0.11407064241261657,-0.178261967171072,-0.11426659926787355,-0.15150820605965762,-0.17295016250255518,-0.14657413112783288,-0.13754031369431807,-0.010385864726454244,-0.14881654063178593,-0.0499386336265424,-0.13454542470602399,-0.13864619923855148,0.1788961408087747,-0.15933351538254212,-0.15704169740224713,-0.17795157744652224,-0.1102234249564601,-0.17568560216341578,-0.08555821045152347,0.01724689639977731,-0.0786626319093086,-0.16052818782975817,-0.08859141358465712,-0.1504443757720495,-0.13022063497984687,-0.15925359749456863,-0.1528928366828881,-0.16910980160127492,-0.13767031732887056,-0.1664960674020146,-0.15074514825923296,-0.1579972354040452,-0.1667660724698572,-0.1711214038586295,-0.1202103228683414,-0.1288506462941224,-0.17038182475975633,-0.12779084737697297,-0.11290836605840669,-0.1304344266180132,-0.14906874316768284,0.05563590862642319,-0.11512815151134545,-0.06650202227118708,-0.11877186538674622,-0.14863791544440502,-0.0321406168157913,-0.11448284520437513,-0.18214358995527125,-0.12338323717609212,-0.06437074636294338,-0.1572858371972266,-0.1736232078633778,-0.1580095488219743,-0.11695858720538196,-0.15375223778708327,-0.1333083422415823,-0.000622233785865439,-0.05946241415031977,-0.1512322377886325,8.347101905279688,-0.10711027168438929,0.14245352261603975
R01-004,0.006549122745989163,0.9459838753311639,-0.5440944714854689,-0.7838636796796363,-0.6725706136238185,-0.6644089741985885,-0.10784854970664244,-0.6404711027992905,-0.6009159483155452,-0.5876239250761529,-0.6548648521781274,-0.6596004374800196,-0.763020164204371,-0.15651832696388254,-0.22018574400722937,-0.02156290979231019,-0.5397404611422154,-0.424494972529594,-0.728852809087185,-0.5790863018592556,-0.2902004667935335,-0.5808630504746639,-0.4107313831679254,-0.5640571562910074,-0.23918772432916155,-0.8391980392182993,0.8942527566596282,0.2124409177673529,0.30869516464857477,-0.7758900543374103,-0.22125605311321464,-0.23677904072294326,-0.5462310960067455,-0.5814678727430959,-0.3132664711399956,-0.3845669404580545,4.11206178054755,-0.5223784677165935,-0.5612003362145841,-0.11322831731747279,-0.6497475587945732,-0.4257958507116447,-0.5021562817646287,-0.2020751554481922,-0.706804707749935,-0.4306998366377996,1.9661350217835822,-0.694400126957085,-0.12984491056223493,0.12207487969664547,1.3776402033901336,3.263367762968859,0.47259889318976483,0.030518721799133664,-0.7516452456211098,0.05837329441069465,-0.8537608104621734,0.49967505111072924,0.5477239869624203,0.7294198294169733,-0.8335081393379112,0.7411657174913638,-0.6422805553040485,-0.2111808589791369,0.11115657308272886,1.1650604408096163,0.2226095642636697,3.9426319821931064,0.14251591989864007,0.01566787233320087,1.675807420002994
R01-005,1.539372970783763,0.02885326894438123,-0.21615567208253825,-0.29235402128571975,0.0721994087415549,-0.4985073339083792,-0.15402016601889276,-0.11578443707052317,-0.37294387541030827,-0.026755195268383908,-0.20645820512549865,-0.41076351881581996,-0.421308146760096,-0.42955256822258486,-0.39257772154341936,1.0680068403882899,-0.43891270146085265,-0.40895083755389366,-0.47890029898123987,-0.454689804362575,-0.009656909257844614,-0.4478419542453308,-0.3111050962752992,-0.49274441142769365,0.3407085180456532,-0.3723632909319019,-0.16485140575500676,-0.36460193427955306,0.05834776478360541,-0.07637269550676191,-0.33585790846930175,-0.10482126182720457,-0.4482911638144757,-0.455729567303983,7.581847852774963,-0.3745549120295034,0.6768642742961842,-0.30546479850119895,-0.43877464812392175,0.11085073575631015,-0.04821066785668638,-0.3318323033879382,-0.3093523746194552,-0.3643284599786412,-0.3489605204538713,-0.3289271142303104,0.506249385805842,-0.08691174184543099,-0.4561424598759479,-0.17802765106070428,-0.459278396021698,-0.2662230887309458,-0.2012588785681628,-0.04932920699600404,-0.4430286115586938,0.37959376064560013,-0.4859007048604633,-0.03008351400389308,0.06355523219802724,-0.33891928508862673,0.8597334194665027,-0.3621482214566659,0.09572575450529153,-0.24362499566559825,-0.07492269674016255,-0.2983546129204331,1.0841499162515265,0.8912428018083274,0.6177033740398096,-0.04008382571929535,-0.20748948597629013
R01-006,-0.20494882186706379,-0.5609815448404953,-0.3815704794458241,-0.4902311999491628,-0.39280756009436324,-0.6512036654501242,-0.5664146810119457,-0.6331406141194709,-0.1334806951799232,-0.45476359248384285,-0.34329323461532996,-0.5298086439781001,-0.6280373264237147,0.40618619519841503,-0.44152538879877196,-0.042509680662418024,-0.44260333001207475,0.5016556472415411,-0.5325122931932562,-0.21856938406246798,3.217558127384635,0.020829972779645104,-0.49163424938074174,-0.5455357164823533,0.5816942261048584,-0.6929214692317275,-0.24613838738539534,3.144402769495489,0.0670161034376358,-0.5140726918367116,-0.4721020520714115,-0.5670427651198487,-0.21849293906607686,-0.708906284887568,-0.23953514203774454,-0.500128757291945,1.284795511453084,-0.5730126519886667,-0.47205999063234916,-0.17855136315039993,-0.29809184236281505,-0.5302906146584032,-0.5014929833476275,-0.4691721056376812,-0.5920195486590408,-0.08159964596546082,0.9710394752872724,-0.6671860108309724,-0.4892941645567188,1.2351090011306507,0.5514684086453501,-0.33189702152233835,-0.03473235366932193,-0.0984482566984258,-0.3654576100755048,0.47246904776572235,-0.7103293635758434,0.2392723845194278,-0.13492754191947812,0.3828320818904772,-0.572454202929878,-0.5896717859532842,-0.4401696084129964,-0.0740640053365006,-0.020583853649496612,0.6584512449331414,5.534201009809002,1.316785338931934,-0.1370473049198413,-0.5532225446172764,1.1749224200419153
R01-007,-0.1822594800059058,-0.13203989970958302,-0.1496461236210894,-0.19233833293582636,-0.17423677380590116,-0.1992288398226741,-0.006321938449507535,-0.19303637300621868,-0.17054907648424603,-0.13550334745871961,-0.08943232244406715,-0.17829373629003242,-0.18839695183906585,-0.16284229823727014,-0.11615325956970428,-0.17875698106402005,-0.087080882766382,-0.1602833261940923,-0.18762065089619154,-0.173426334766768,-0.0888167970367956,-0.17185446086381848,-0.16444097862861903,-0.1832643255185532,-0.12667578096140308,-0.19754247492280072,-0.1625826553515829,-0.15435052445150185,0.04820531805997997,-0.1716321353232803,-0.17908051639225972,-0.14736898264129722,-0.12192947617253731,-0.1670443809127681,-0.07208397270351152,-0.17582484507857055,0.22941668516028435,-0.18149641272615877,-0.1782906014174976,-0.13517738410989177,-0.18083957927149213,-0.1611687549343668,-0.12588832253488613,-0.16428639042485446,-0.17467159869399676,-0.13344187556615608,-0.14193224515725,-0.19847935487741813,-0.18406103324543072,-0.06956664470013396,-0.023001267086360733,0.4302531214055602,-0.09919446449526012,-0.1466450109306548,-0.18419257744178563,-0.07312497860632798,-0.1942000478343107,-0.10432004131474404,-0.13123316926586517,-0.04499545671690338,-0.16740850475749752,-0.15252697321865882,-0.17078541861361027,-0.1211272530986319,-0.09795261437765725,0.074267266307974,0.06600998669334168,0.12640941416498885,8.322251936328499,-0.09830943197244454,-0.11655708440381551
R01-012,-0.03528567036095089,-0.1515825067775723,-0.16149695573732686,-0.16676862318281188,-0.16050677415197856,-0.16029461709182385,-0.16379363954387802,-0.15767282809396665,-0.15106597657409873,-0.15810693965527708,-0.13446407816069364,-0.16186905343264782,-0.1681917584500796,-0.13104564949974087,-0.124209098736243,-0.05916954476147882,-0.15155120882122433,-0.12307566116419849,-0.15315602137183273,-0.15526199477872069,0.07573098747169216,-0.1277382488372105,-0.15845800288688444,-0.16789709782279752,-0.1288894999383478,-0.16428483103788732,-0.13378652193958349,0.008841175371507854,-0.1362895713379936,-0.15922372364896042,-0.10853522304835528,-0.14619473862055454,-0.13421118818779357,-0.1631159590423323,-0.11276220986617103,-0.16820228086028793,-0.0053869563665484375,-0.16214416889010208,-0.16424494323210362,-0.13884586247498526,-0.1550995353933943,-0.05367508185055758,-0.13080685707091125,-0.1498498510856141,-0.15447161056421352,-0.13244230474887805,-0.1625934198798008,-0.1469126486990817,-0.16162482166342312,-0.13239172261161689,-0.1301418324603838,-0.05478936159346495,-0.05829531267979996,-0.140188716723581,-0.14931540378601815,-0.13030547458118832,-0.16673834018335412,-0.09581337018893706,-0.10696995031831112,-0.14734245187196043,-0.1598590949475701,-0.16504827125397134,-0.164104071358429,-0.1669791107424493,-0.15206096574096145,0.15454098976726305,0.1262365182724271,-0.06176902334981759,8.344220215754076,-0.14621613764021246,0.1750144847363795
R01-013,0.012833397402241618,-0.15988836791946187,-0.1858238493197267,-0.22874102523828235,-0.20794451563636143,-0.2395662707444316,-0.23257598143536284,-0.2397828192126373,-0.2388828138280928,-0.17847702270432825,-0.2179424005603665,-0.2119459195069298,-0.2447030691384421,-0.21712474155118902,-0.216262039524666,-0.02265612645860178,-0.2366088164224306,-0.20152599815966374,-0.2087499801823015,-0.23451332615943565,0.00021182196498419084,-0.22387880925800266,-0.23444342623621423,-0.2419438715897906,-0.17874588586980264,-0.2522075328151443,-0.14297903021624767,-0.17518100778471837,-0.2044888927422013,-0.24543538040436344,0.0859241121748711,-0.12886441149814107,-0.21359221704200032,-0.23994076226047248,-0.1549471669158588,-0.21100714382893376,0.09444968890533251,-0.18916760713784175,-0.24101724987681458,-0.1780067349049437,-0.18814552212686508,-0.13195411949874392,-0.2281663420340609,-0.2413384007407461,-0.22869132942573844,-0.1327477675648089,0.5546688529800808,-0.237170211711545,-0.24216918117235914,0.22861711976968296,-0.1842292095108427,-0.042168212596873894,-0.14476954640325884,-0.1550072842696787,-0.23319645912385265,-0.1874580603868062,-0.23582065361492147,-0.12304653208321222,-0.06304405820666895,-0.16935466424235424,-0.10839809736203626,-0.23422857869313907,-0.096831100005511,-0.12533355641546937,-0.2217248890669126,-0.14281528242391942,2.4608434175669607,0.2205981262409947,7.883216836447419,-0.09326814333585193,0.029276042647815435
R01-014,-0.19373216170227955,-0.21035848156585976,-0.22944223962356675,-0.24349565049128657,-0.22950603306600528,-0.2224480466230952,-0.17663168685129138,-0.23710346121770068,-0.21201081948169426,-0.16981485434127375,-0.15322350622118253,-0.22100846203171007,-0.22827913810470718,-0.19774717475541242,-0.19636242393283285,-0.08288727272795342,-0.1840337254694208,-0.11512567881529731,-0.21625771186085072,-0.22723118891576963,0.1543810917484583,-0.11484259276054462,-0.21030827979262506,-0.23400097960063873,-0.18755218435106336,-0.24473128573452513,-0.15796838235640578,-0.03274456539857542,-0.17361090386963107,-0.23717147264235502,-0.07515232490943487,-0.19260315436013928,-0.15928533406887205,-0.22572570189083807,-0.17422733790815778,-0.201471338118741,-0.04179768573817137,-0.22503118564125926,-0.20401081465153512,-0.16242309528550752,-0.22717750872263717,0.11811920125779307,-0.21792781342662096,-0.19382859142825537,-0.23628873955212248,-0.19166804327262615,-0.019628509075352674,-0.22748458632053015,-0.23191594465011478,0.3530653931341902,-0.17715407970242922,-0.1385666195790924,0.15482981853099814,0.04567263553647216,-0.196532381722955,-0.1455410956358504,-0.23753764445417758,-0.10792354495330717,-0.10097451479429574,-0.20489474378034897,-0.22266440221759132,-0.2273082944799329,-0.21420091474428832,-0.14943176313943313,-0.2209672022392299,-0.08454106145981853,2.0951770377765015,0.06677686015418972,7.9983842742847955,-0.21558991185768916,0.4046999356635093
R01-015,-0.06757453407995749,-0.1339414608025058,-0.27727159917911554,-0.16378530305251937,-0.22414045081066694,-0.24993456950911863,-0.2596571865609376,-0.2350171811980734,-0.28862783469994796,-0.27242863318427935,-0.11278503821013923,-0.1910480022562821,-0.23238684303532442,-0.1648588372969765,-0.25991629962118135,-0.00900814483025374,-0.11966843632475993,-0.21903300664527658,-0.195274018979095,-0.2884375589500358,-0.21058161342761142,-0.1897291326572949,-0.28788234045798067,-0.2567122147691953,-0.12317962572492176,-0.31185197592778297,-0.1697036087346618,-0.2934390197788163,-0.08508374443963755,-0.28021278082133066,0.2631275362703528,-0.19228005694380196,-0.259863672882814,-0.2764100956306742,0.03705190339006391,-0.16451138558271905,0.822433832636191,-0.2864281394726663,-0.2494753339929276,-0.060365567242775156,-0.2338020157241561,0.02665759757558406,-0.20594597885555968,-0.2576378563547369,-0.22814460293598807,-0.11446010503732663,-0.1276483016493891,-0.23683633773008997,-0.14711235845507087,0.5610340573807611,-0.23959277519197322,-0.11689808030701167,-0.04155093207128203,-0.15560461102118617,-0.2564553553113731,-0.05417611221472834,-0.2796040776854408,-0.13962873382275964,0.08400912866079162,-0.17694685337685861,-0.28729723612472124,-0.23587266660368436,-0.2478050176572084,-0.23847416889908463,-0.24599454261633852,-0.03712725136789084,-0.03814192305364369,0.9062389428284621,8.011996948095868,-0.17387478353036342,1.466587978473849
R01-016,0.6458950207116488,-0.27241384049226636,-0.5325846015047598,-0.4918316479877565,-0.5985511820052952,-0.6380451695272852,0.5406045029503349,-0.4672822813841186,-0.2486322990855399,0.4805078247925198,-0.5783088395066924,-0.48797395756420214,-0.6077559259116613,-0.5782258440880836,-0.15893511799888552,1.7590736594470242,0.09670015254598434,-0.09310413216078343,-0.5471868446628385,-0.5460883249259291,-0.17295126944153968,-0.6447419814880977,-0.4639222416886076,-0.4812380365185695,-0.019148357714227824,-0.4685439206583474,0.1415211687092548,0.3388959078760288,-0.02498278960217136,-0.5666389113696363,-0.2088066269201387,-0.2326154951810686,-0.4997079206395049,-0.482832598065476,0.8853648728297311,-0.4135863495139935,2.0951258965395136,-0.26464053859548736,-0.5690413230439315,-0.13230774710427678,-0.19038303013376892,-0.1395631011530424,-0.5827998743310647,-0.548952694100223,-0.37196255053993854,-0.36203874402975944,-0.15356727234439724,-0.2570952080095901,-0.4598656642419332,-0.1917298183015301,0.4228112810711495,0.4255365407158935,-0.23951097139173316,0.008641295577098423,-0.6272919038827249,-0.09187571085606641,-0.6546739563514354,0.8000045674660188,3.6214146150651443,-0.4652104899920653,-0.5644010301300242,-0.17642900768029093,-0.42379891968462285,-0.10858746834624002,-0.17826564951171692,0.346013909828803,-0.490773054170983,0.6481239167627866,6.10921280771197,-0.12584509460067833,0.5317993895341087
